"","Age group...1","...2","se...3","...4","...5","...6","Age group...8","...9","se...10","...11","...12","...13","Age group...15","...16","se...17","...18","...19","...20","Age group...22","...23","se...24","...25","...26","...27","Age group...29","...30","se...31","...32","...33","...34","Age group...36","...37","se...38","...39","...40","...41","region"
"1","25+",0.143,0.01807,1.6,15.5,36.8,"25+",0.2969,0.01787,1.9,12,40.2,"25+",0.272,0.07697,6.2,16.7,23.7,"25+",0.251,0.06762,6.5,2.5,32,"25+",0.2942,0.06147,6.2,9.3,29.8,"25+",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"2","25-29",0.1585,0.01477,1.6,15.5,36.8,"25-29",0.507,0.02458,1.9,12,40.2,"25-29",0.4513,0.11919,6.2,16.7,23.7,"25-29",0.251,0.06762,6.5,2.5,32,"25-29",0.2942,0.06147,6.2,9.3,29.8,"25-29",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"3","30-35",0.1577,0.0147,1.6,15.5,36.8,"30-35",0.4762,0.02309,1.9,12,40.2,"30-35",0.424,0.11197,6.2,16.7,23.7,"30-35",0.251,0.06762,6.5,2.5,32,"30-35",0.2942,0.06147,6.2,9.3,29.8,"30-35",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"4","35-39",0.157,0.01463,1.6,15.5,36.8,"35-39",0.4455,0.0216,1.9,12,40.2,"35-39",0.3966,0.10475,6.2,16.7,23.7,"35-39",0.251,0.06762,6.5,2.5,32,"35-39",0.2942,0.06147,6.2,9.3,29.8,"35-39",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"5","40-44",0.1558,0.0145,1.6,15.5,36.8,"40-44",0.4148,0.02011,1.9,12,40.2,"40-44",0.3693,0.09752,6.2,16.7,23.7,"40-44",0.251,0.06762,6.5,2.5,32,"40-44",0.2942,0.06147,6.2,9.3,29.8,"40-44",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"6","45-49",0.1532,0.01425,1.6,15.5,36.8,"45-49",0.3841,0.01862,1.9,12,40.2,"45-49",0.3419,0.0903,6.2,16.7,23.7,"45-49",0.251,0.06762,6.5,2.5,32,"45-49",0.2942,0.06147,6.2,9.3,29.8,"45-49",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"7","50-54",0.1499,0.01394,1.6,15.5,36.8,"50-54",0.3533,0.01713,1.9,12,40.2,"50-54",0.3146,0.08307,6.2,16.7,23.7,"50-54",0.251,0.06762,6.5,2.5,32,"50-54",0.2942,0.06147,6.2,9.3,29.8,"50-54",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"8","55-59",0.1462,0.01361,1.6,15.5,36.8,"55-59",0.3226,0.01564,1.9,12,40.2,"55-59",0.2872,0.07585,6.2,16.7,23.7,"55-59",0.251,0.06762,6.5,2.5,32,"55-59",0.2942,0.06147,6.2,9.3,29.8,"55-59",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"9","60-64",0.1421,0.01325,1.6,15.5,36.8,"60-64",0.2919,0.01415,1.9,12,40.2,"60-64",0.2598,0.06863,6.2,16.7,23.7,"60-64",0.251,0.06762,6.5,2.5,32,"60-64",0.2942,0.06147,6.2,9.3,29.8,"60-64",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"10","65-69",0.1374,0.01284,1.6,15.5,36.8,"65-69",0.2612,0.01266,1.9,12,40.2,"65-69",0.2325,0.0619,6.2,16.7,23.7,"65-69",0.251,0.06762,6.5,2.5,32,"65-69",0.2942,0.06147,6.2,9.3,29.8,"65-69",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"11","70-74",0.1319,0.01234,1.6,15.5,36.8,"70-74",0.2304,0.01117,1.9,12,40.2,"70-74",0.2051,0.05418,6.2,16.7,23.7,"70-74",0.251,0.06762,6.5,2.5,32,"70-74",0.2942,0.06147,6.2,9.3,29.8,"70-74",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"12","75-79",0.1253,0.01174,1.6,15.5,36.8,"75-79",0.1997,0.00968,1.9,12,40.2,"75-79",0.1778,0.04695,6.2,16.7,23.7,"75-79",0.251,0.06762,6.5,2.5,32,"75-79",0.2942,0.06147,6.2,9.3,29.8,"75-79",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"13","80+",0.1141,0.01071,1.6,15.5,36.8,"80+",0.1536,0.00745,1.9,12,40.2,"80+",0.1368,0.03611,6.2,16.7,23.7,"80+",0.251,0.06762,6.5,2.5,32,"80+",0.2942,0.06147,6.2,9.3,29.8,"80+",0.4468,0.11735,6.4,5.7,8.4,"inc_China"
"14","25+",0.1231,0.01797,1.5,10.4,25.9,"25+",0.2543,0.04589,4.9,-21.1,17.7,"25+",0.1873,0.08431,6.2,14.5,14.4,"25+",0.2095,0.06725,7.2,2,14.7,"25+",0.2626,0.07849,6.7,11,16.5,"25+",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"15","25-29",0.1358,0.01326,1.5,10.4,25.9,"25-29",0.3996,0.03016,4.9,-21.1,17.7,"25-29",0.3177,0.11625,6.2,14.5,14.4,"25-29",0.2095,0.06725,7.2,2,14.7,"25-29",0.2626,0.07849,6.7,11,16.5,"25-29",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"16","30-35",0.1353,0.01321,1.5,10.4,25.9,"30-35",0.3796,0.02834,4.9,-21.1,17.7,"30-35",0.2985,0.1092,6.2,14.5,14.4,"30-35",0.2095,0.06725,7.2,2,14.7,"30-35",0.2626,0.07849,6.7,11,16.5,"30-35",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"17","35-39",0.1348,0.01315,1.5,10.4,25.9,"35-39",0.3512,0.02651,4.9,-21.1,17.7,"35-39",0.2792,0.10216,6.2,14.5,14.4,"35-39",0.2095,0.06725,7.2,2,14.7,"35-39",0.2626,0.07849,6.7,11,16.5,"35-39",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"18","40-44",0.1338,0.01304,1.5,10.4,25.9,"40-44",0.327,0.02468,4.9,-21.1,17.7,"40-44",0.26,0.09511,6.2,14.5,14.4,"40-44",0.2095,0.06725,7.2,2,14.7,"40-44",0.2626,0.07849,6.7,11,16.5,"40-44",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"19","45-49",0.1317,0.01283,1.5,10.4,25.9,"45-49",0.3027,0.02285,4.9,-21.1,17.7,"45-49",0.2407,0.08807,6.2,14.5,14.4,"45-49",0.2095,0.06725,7.2,2,14.7,"45-49",0.2626,0.07849,6.7,11,16.5,"45-49",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"20","50-54",0.1288,0.01255,1.5,10.4,25.9,"50-54",0.2785,0.02103,4.9,-21.1,17.7,"50-54",0.2214,0.08102,6.2,14.5,14.4,"50-54",0.2095,0.06725,7.2,2,14.7,"50-54",0.2626,0.07849,6.7,11,16.5,"50-54",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"21","55-59",0.1256,0.01225,1.5,10.4,25.9,"55-59",0.2543,0.0192,4.9,-21.1,17.7,"55-59",0.2011,0.07398,6.2,14.5,14.4,"55-59",0.2095,0.06725,7.2,2,14.7,"55-59",0.2626,0.07849,6.7,11,16.5,"55-59",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"22","60-64",0.1221,0.01194,1.5,10.4,25.9,"60-64",0.2301,0.01737,4.9,-21.1,17.7,"60-64",0.1829,0.06693,6.2,14.5,14.4,"60-64",0.2095,0.06725,7.2,2,14.7,"60-64",0.2626,0.07849,6.7,11,16.5,"60-64",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"23","65-69",0.1181,0.01157,1.5,10.4,25.9,"65-69",0.2059,0.01554,4.9,-21.1,17.7,"65-69",0.1637,0.05988,6.2,14.5,14.4,"65-69",0.2095,0.06725,7.2,2,14.7,"65-69",0.2626,0.07849,6.7,11,16.5,"65-69",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"24","70-74",0.1133,0.01112,1.5,10.4,25.9,"70-74",0.1816,0.01371,4.9,-21.1,17.7,"70-74",0.1444,0.05284,6.2,14.5,14.4,"70-74",0.2095,0.06725,7.2,2,14.7,"70-74",0.2626,0.07849,6.7,11,16.5,"70-74",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"25","75-79",0.1077,0.01058,1.5,10.4,25.9,"75-79",0.1574,0.01188,4.9,-21.1,17.7,"75-79",0.1252,0.0458,6.2,14.5,14.4,"75-79",0.2095,0.06725,7.2,2,14.7,"75-79",0.2626,0.07849,6.7,11,16.5,"75-79",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
"26","80+",0.0979,0.00964,1.5,10.4,25.9,"80+",0.1211,0.00914,4.9,-21.1,17.7,"80+",0.0963,0.03523,6.2,14.5,14.4,"80+",0.2095,0.06725,7.2,2,14.7,"80+",0.2626,0.07849,6.7,11,16.5,"80+",0.4468,0.11735,6.4,5.7,8.4,"ex_China"
